PersonaId,ResumeId,SkillId,ShowInSummary
1,1,1,true
1,1,2,true
1,1,3,true
1,1,4,true
1,1,5,true
1,1,6,false
1,1,7,false
1,1,8,false
1,1,9,false
1,1,10,false
1,1,11,false
1,1,12,false
1,1,13,false
1,1,14,false
1,1,15,false
1,1,16,false
1,1,17,false
1,1,18,false
1,1,19,false
1,1,20,false
1,1,21,false
1,1,22,false
1,1,23,false
1,1,24,false
1,1,25,false
1,1,26,false
1,1,27,false
1,1,28,false
1,1,29,false
1,1,30,false
1,1,31,false
1,1,32,false
1,1,33,false
1,1,34,true
1,1,35,true
1,1,36,true
1,1,37,true
1,1,38,true
1,1,39,false
1,1,40,false
1,1,41,false
1,1,42,false
1,1,43,false
1,1,44,true
1,1,45,false
1,1,46,false
1,1,47,false
